50
1005000123001,Agua,32.5,0
1005000123002,Ajo,9.25,0
1005000123003,Arroz,67.5,0
1005000123004,Asado,130,1
1005000123005,Azucar,42,1
1005000123006,Balde,100,0
1005000123007,Banana,45,1
1005000123008,Bondiola,105.5,0
1005000123009,Cafe,100,1
1005000123010,Carne,110.5,1
1005000123011,Cebolla,21,0
1005000123012,Cerveza,80,1
1005000123013,Chorizo,78,0
1005000123014,Crema,54,0
1005000123015,DDL,68,0
1005000123016,Desodorante,78.5,1
1005000123017,Escoba,80,0
1005000123018,Fideos,38.5,0
1005000123019,Fosforos,93,0
1005000123020,Galletitas,40,0
1005000123021,Gaseosa,87.5,1
1005000123022,Huevos,20,0
1005000123023,Jabon,32,0
1005000123024,Jamon,68,0
1005000123025,Jugo,46,0
1005000123026,Lavandina,80,0
1005000123027,Leche,48.5,0
1005000123028,Lechuga,36,0
1005000123029,Limon,48,0
1005000123030,Mermelada,47,0
1005000123031,Pan,70,1
1005000123032,Papas,22.5,0
1005000123033,Papel,45,0
1005000123034,Pascualina,50,0
1005000123035,Pescado,80,1
1005000123036,Pollo,100,1
1005000123037,Pure,50,1
1005000123038,Queso,60,0
1005000123039,Salame,60,0
1005000123040,Salchichas,80,0
1005000123041,Secador,100,0
1005000123042,Servilleta,56,0
1005000123043,Snacks,80,0
1005000123044,Te,78,0
1005000123045,Tomate,60,0
1005000123046,Trapo,40,0
1005000123047,Vino,105.5,1
1005000123048,Yerba,68.5,0
1005000123049,Yogurt,60,0
1005000123050,Zanahoria,30,0
